route,start_stop_id,end_stop_id,flow_begin,flow_end,period,duration,nr_of_buses,nr_of_repetitions,nr_of_trips_pd,line,depot,type,bothdepots,doubledecker
221_10691,agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0,agg_9828_4_11970_4_10691_33_9844_29,16560,85680,1020.0,2540.0,3,27,67,221,muellerstrasse,GN,0,0
222_10695,agg_11967_43_11963_0_10695_0_10705_33,agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1,17220,85560,600.0,2300.0,4,29,113,222,muellerstrasse,GN,0,0
222_10705,agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1,agg_11967_43_11963_0_10695_0_10705_33,16200,86100,960.0,2390.0,3,29,72,222,muellerstrasse,GN,0,0
245_10740,agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0,agg_10740_22_10099_15,1560,85560,420.0,1940.0,5,43,200,245,muellerstrasse,GN,0,0
247_10785,agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0,10785_23,1200,85200,600.0,1940.0,4,43,140,247,muellerstrasse,EN,0,0
247_10789,10789_0,agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0,18300,86100,1110.0,1940.0,2,34,61,247,muellerstrasse,EN,0,0
249_10804,agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0,agg_10804_21_10804_22_11538_46_11538_47_10481_5,16200,85800,600.0,1640.0,3,42,116,249,cicerostrasse,EN,0,0
249_10808,agg_10808_0_11530_0_10808_1_11530_1,agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39,16500,86220,600.0,1700.0,3,41,116,249,cicerostrasse,EN,0,0
282_10948,agg_10948_0_10802_38,10948_29,17400,85740,600.0,2300.0,4,29,113,282,cicerostrasse,DL,0,0
283_10956,agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0,agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21,15960,85560,1200.0,1940.0,2,35,58,283,cicerostrasse,EN,0,0
283_10959,agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21,agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0,1260,85260,1200.0,1790.0,2,46,70,283,cicerostrasse,EN,0,0
284_10965,agg_10965_0_10970_27,agg_10965_25_10970_0,1380,85380,1200.0,1760.0,2,47,70,284,cicerostrasse,EN,0,0
284_10970,agg_10965_25_10970_0,agg_10965_0_10970_27,16740,86340,1200.0,1940.0,2,35,58,284,cicerostrasse,EN,0,0
285_10980,agg_10980_0_10980_1,agg_10994_0_10980_36,15660,85260,660.0,2480.0,4,28,105,285,cicerostrasse,DL,0,0
285_10994,agg_10994_0_10980_36,10994_37,1980,85980,600.0,2540.0,5,33,140,285,cicerostrasse,DL,0,0
309_11037,agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1,agg_11039_0_11037_12,19260,79260,1200.0,920.0,1,65,50,309,cicerostrasse,EN,0,0
309_11039,agg_11039_0_11037_12,agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1,20040,80040,1200.0,980.0,1,61,50,309,cicerostrasse,EN,0,0
322_11065,agg_9828_20_11060_9_11065_0_11957_27,agg_11065_20_11067_0_9852_0_9844_45,21000,69780,1200.0,1520.0,2,32,40,322,muellerstrasse,EN,0,0
322_11067,agg_11065_20_11067_0_9852_0_9844_45,agg_11060_0_11067_23,22740,69480,1200.0,1700.0,2,27,38,322,muellerstrasse,EN,0,0
324_11077,agg_11079_10_11077_0,agg_11079_0_11077_9_11079_1_10705_29,21540,73740,1800.0,560.0,1,93,29,324,muellerstrasse,EN,0,0
324_11079,agg_11079_0_11077_9_11079_1_10705_29,agg_11079_10_11077_0,22620,74820,1800.0,560.0,1,93,29,324,muellerstrasse,EN,0,0
327_11082,agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0,agg_11082_16_10120_31_11085_0_12038_6,21360,71640,1200.0,1460.0,2,34,41,327,muellerstrasse,EN,0,0
