ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP;START_STOP_NAME;END_STOP_NAME;START_STOP_COORDINATES;END_STOP_COORDINATES
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;31320.0;35180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;31920.0;35780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;32520.0;36380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;33120.0;36980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;33720.0;37580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;34320.0;38180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;34920.0;38780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;35520.0;39380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;36120.0;39980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;36720.0;40580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
