FromEdgeID;ToEdgeID;RunTime
-140336718#0;39473294;1913
-140336718#0;41976565;1742
-140336718#0;-671403217;1263
-140336718#0;-165465028#0;1291
-140336718#0;4486596#2;675
-140336718#0;24673480;692
-140336718#0;30699893;678
-140336718#0;-469999015;972
-140336718#0;469999020;644
-140336718#0;120395207#1;793
-140336718#0;30157290;616
-140336718#0;469999032;546
-140336718#0;30157292#1;630
-140336718#0;-469999029;566
-140336718#0;25369033#2;918
-140336718#0;15926759;1080
-140336718#0;4594894#4;1444
-140336718#0;57936173#3;1445
-140336718#0;223737429;1891
-140336718#0;-461331989#0;1782
-140336718#0;28819804;1536
-140336718#0;-MA068;1394
-140336718#0;23109073#1;576
-140336718#0;52158843#1;1076
-140336718#0;-857983579;1166
-140336718#0;243102981;1642
-140336718#0;806903754;1119
-140336718#0;385888165#4;1216
-140336718#0;-31002335#0;1195
-140336718#0;138515677#4;1077
-140336718#0;256245721;446
-140336718#0;710761406;1182
-140336718#0;30143978#1;725
-140336718#0;-858123638#0;1088
-140336718#0;4463221#1;685
-140336718#0;451621867#1;724
-140336718#0;-451621866;771
-140336718#0;4392634#2;545
-140336718#0;MA080;1396
-140336718#0;-450086133;1431
-140336718#0;32197350#0;1359
-140336718#0;139806486#2;544
-140336718#0;-79701272#0;1101
-140336718#0;30709383;1159
-140336718#0;151043332#5;684
-140336718#0;332306828#3;1020
-140336718#0;4442099#1;824
-140336718#0;450189363;1521
30276434#1;E19.203;367
30276434#1;671403224#1;144
30276434#1;-140336718#0;1266
30276434#1;30276434#1;14
30276434#1;914393586;524
30276434#1;4517104;297
30276434#1;-25418282;285
30276434#1;718428117#1;780
30276434#1;207716520;816
30276434#1;23044566;1124
30276434#1;4368690;451
30276434#1;451458155;699
30276434#1;375861848;270
30276434#1;-420483060#0;721
30276434#1;24041366;374
30276434#1;455953261#1;744
30276434#1;111251392;198
30276434#1;-333626093;565
30276434#1;4389557#1;154
30276434#1;42813669;982
30276434#1;24735700;1091
30276434#1;456213456;323
30276434#1;231262268#0;1010
30276434#1;27606891#2;369
30276434#1;-10947989;1140
30276434#1;98410013#0;1144
30276434#1;172282359;673
30276434#1;148288810#2;1041
30276434#1;76402289;113
30276434#1;461910870#2;863
30276434#1;30157285;655
30276434#1;24160797;921
30276434#1;4616321#2;418
30276434#1;-259536422;1533
30276434#1;-39496182#0;1047
30276434#1;MA047;664
30276434#1;-669433184;820
30276434#1;4802807#2;699
30276434#1;39473294;1114
30276434#1;41976565;867
30276434#1;-671403217;220
30276434#1;-165465028#0;249
30276434#1;4486596#2;581
30276434#1;24673480;628
30276434#1;30699893;558
30276434#1;-469999015;911
30276434#1;469999020;657
30276434#1;120395207#1;885
30276434#1;30157290;641
30276434#1;469999032;802
30276434#1;30157292#1;643
30276434#1;-469999029;861
30276434#1;25369033#2;406
30276434#1;15926759;513
30276434#1;4594894#4;486
30276434#1;57936173#3;426
30276434#1;223737429;1092
30276434#1;-461331989#0;984
30276434#1;28819804;474
30276434#1;-MA068;1038
30276434#1;23109073#1;703
30276434#1;52158843#1;458
30276434#1;-857983579;361
30276434#1;243102981;544
30276434#1;806903754;362
