FromStopID;ToStopID;RunTime
10994_37;agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;715
10994_37;agg_10965_0_10970_27;342
10994_37;agg_11800_0_11164_0_11804_22_11166_22;342
10994_37;agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1;1296
10994_37;agg_11967_43_11963_0_10695_0_10705_33;1467
10994_37;agg_12113_47_12561_34_12556_9;1059
10994_37;agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1;485
10994_37;agg_12570_35_12561_0;97
10994_37;agg_12751_33_12751_34_11845_43;573
10994_37;agg_12788_0_12763_0_12771_36;461
10994_37;agg_10661_0_10064_29_10663_31_10066_0;461
10994_37;agg_9908_53_9922_0;1401
10994_37;agg_12434_34_12434_35;327
10994_37;agg_11804_21_10538_19_11166_21_10970_26_10537_0_10538_20;331
10994_37;agg_10537_16_10538_0;409
10994_37;agg_10675_37_10671_0_11957_0_11962_49_10671_1_11957_1;1426
10994_37;agg_11679_0_11683_37_11679_1;287
10994_37;agg_11679_36_11683_0;765
10994_37;agg_10671_36_11882_47_11989_25;1014
10994_37;agg_11518_0_11838_49_11845_0_11523_30;1217
10994_37;agg_9777_0_9773_29;406
10994_37;agg_9777_31_9773_0;437
10994_37;agg_11060_0_11067_23;999
10994_37;agg_10965_25_10970_0;574
10994_37;agg_12123_27_12124_0_10487_0_10481_42;574
10994_37;agg_11065_20_11067_0_9852_0_9844_45;1173
10994_37;agg_11039_0_11037_12;634
10994_37;agg_12763_36_12771_0;1250
10994_37;agg_11475_0_11467_26_11475_1;803
10994_37;agg_11475_27_10487_39_10481_0_11467_0;368
10994_37;agg_11079_0_11077_9_11079_1_10705_29;1336
10994_37;agg_11079_10_11077_0;1444
10994_37;agg_11082_16_10120_31_11085_0_12038_6;1089
10994_37;agg_9852_46_9844_0;880
11407_61;1;895
11407_61;9735_25;162
11407_61;10994_37;243
11407_61;11407_61;12
11407_61;11658_39;865
11407_61;11800_21;582
11407_61;10661_32;1225
11407_61;10948_29;623
11407_61;9873_50;684
11407_61;9724_18;727
11407_61;10785_23;779
11407_61;9646_49;620
11407_61;agg_9633_48_11946_43_11949_0_9646_0;646
11407_61;agg_11516_32_11970_0_12041_8_11921_0;1179
11407_61;agg_9828_4_11970_4_10691_33_9844_29;1089
11407_61;agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0;844
11407_61;agg_9863_50_11969_8;768
11407_61;agg_9897_0_9973_34_9889_51_9963_0;1382
11407_61;agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20;1111
11407_61;agg_10142_44_10136_0_9897_50_9889_0;1562
11407_61;agg_10045_25_11089_9_12475_23;836
11407_61;agg_10740_22_10099_15;751
11407_61;agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0;877
11407_61;agg_10115_37_10115_38_10189_36_10189_37;1803
11407_61;agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1;975
11407_61;agg_10385_45_10395_0_11755_32_11759_0;907
11407_61;agg_10437_17_10498_41;456
11407_61;agg_10444_40_11759_32_12115_49;222
11407_61;agg_10804_21_10804_22_11538_46_11538_47_10481_5;193
11407_61;agg_10994_0_10980_36;166
11407_61;agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0;180
11407_61;agg_11518_32_11523_0;611
11407_61;agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1;654
11407_61;agg_11516_10_9908_16_10691_9_11882_34_12464_4_9929_0_9844_1_9931_11;787
11407_61;agg_11538_0_11530_46;791
11407_61;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;485
11407_61;agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;576
11407_61;agg_10965_0_10970_27;190
11407_61;agg_11800_0_11164_0_11804_22_11166_22;190
11407_61;agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1;1234
11407_61;agg_11967_43_11963_0_10695_0_10705_33;1405
11407_61;agg_12113_47_12561_34_12556_9;919
11407_61;agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1;405
11407_61;agg_12570_35_12561_0;179
11407_61;agg_12751_33_12751_34_11845_43;512
11407_61;agg_12788_0_12763_0_12771_36;311
11407_61;agg_10661_0_10064_29_10663_31_10066_0;399
11407_61;agg_9908_53_9922_0;1340
11407_61;agg_12434_34_12434_35;417
11407_61;agg_11804_21_10538_19_11166_21_10970_26_10537_0_10538_20;178
11407_61;agg_10537_16_10538_0;354
11407_61;agg_10675_37_10671_0_11957_0_11962_49_10671_1_11957_1;1364
11407_61;agg_11679_0_11683_37_11679_1;354
11407_61;agg_11679_36_11683_0;669
11407_61;agg_10671_36_11882_47_11989_25;952
11407_61;agg_11518_0_11838_49_11845_0_11523_30;1130
11407_61;agg_9777_0_9773_29;310
11407_61;agg_9777_31_9773_0;504
11407_61;agg_11060_0_11067_23;938
11407_61;agg_10965_25_10970_0;474
11407_61;agg_12123_27_12124_0_10487_0_10481_42;474
11407_61;agg_11065_20_11067_0_9852_0_9844_45;1111
11407_61;agg_11039_0_11037_12;572
11407_61;agg_12763_36_12771_0;1097
11407_61;agg_11475_0_11467_26_11475_1;651
11407_61;agg_11475_27_10487_39_10481_0_11467_0;368
11407_61;agg_11079_0_11077_9_11079_1_10705_29;1274
11407_61;agg_11079_10_11077_0;1383
11407_61;agg_11082_16_10120_31_11085_0_12038_6;1028
11407_61;agg_9852_46_9844_0;818
11658_39;1;1175
11658_39;9735_25;890
11658_39;10994_37;971
11658_39;11407_61;776
11658_39;11658_39;26
11658_39;11800_21;647
11658_39;10661_32;1849
11658_39;10948_29;419
11658_39;9873_50;847
11658_39;9724_18;1158
11658_39;10785_23;855
11658_39;9646_49;929
11658_39;agg_9633_48_11946_43_11949_0_9646_0;1213
11658_39;agg_11516_32_11970_0_12041_8_11921_0;1427
11658_39;agg_9828_4_11970_4_10691_33_9844_29;1469
11658_39;agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0;998
11658_39;agg_9863_50_11969_8;1199
11658_39;agg_9897_0_9973_34_9889_51_9963_0;1813
11658_39;agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20;1491
11658_39;agg_10142_44_10136_0_9897_50_9889_0;1565
11658_39;agg_10045_25_11089_9_12475_23;1267
11658_39;agg_10740_22_10099_15;851
11658_39;agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0;1051
11658_39;agg_10115_37_10115_38_10189_36_10189_37;1690
11658_39;agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1;513
11658_39;agg_10385_45_10395_0_11755_32_11759_0;579
11658_39;agg_10437_17_10498_41;457
11658_39;agg_10444_40_11759_32_12115_49;636
11658_39;agg_10804_21_10804_22_11538_46_11538_47_10481_5;770
11658_39;agg_10994_0_10980_36;602
11658_39;agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0;616
11658_39;agg_11518_32_11523_0;1042
11658_39;agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1;1057
11658_39;agg_11516_10_9908_16_10691_9_11882_34_12464_4_9929_0_9844_1_9931_11;1193
11658_39;agg_11538_0_11530_46;490
11658_39;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;808
11658_39;agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;467
11658_39;agg_10965_0_10970_27;638
11658_39;agg_11800_0_11164_0_11804_22_11166_22;638
11658_39;agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1;1615
