TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP;START_STOP_NAME;END_STOP_NAME;START_STOP_COORDINATES;END_STOP_COORDINATES
23;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;37080.0;41130.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
24;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;38280.0;42330.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
25;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;39480.0;43530.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
26;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;40680.0;44730.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
27;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;41880.0;45930.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
28;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;43080.0;47130.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
29;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;44280.0;48330.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
30;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;45480.0;49530.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
31;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;46680.0;50730.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
32;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;47100.0;51150.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
33;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;47880.0;51930.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
34;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;48300.0;52350.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
35;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;49080.0;53130.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
