FromStopID;ToStopID;RunTime
bs_muellerstrasse;agg_12763_36_12771_0;882
bs_muellerstrasse;agg_11475_0_11467_26_11475_1;638
bs_muellerstrasse;agg_11475_27_10487_39_10481_0_11467_0;722
bs_muellerstrasse;agg_11079_0_11077_9_11079_1_10705_29;689
bs_muellerstrasse;agg_11079_10_11077_0;795
bs_muellerstrasse;agg_11082_16_10120_31_11085_0_12038_6;297
bs_muellerstrasse;agg_9852_46_9844_0;79
bs_muellerstrasse;agg_10120_0_10195_0_12049_0;1069
bs_muellerstrasse;agg_10808_0_11530_0_10808_1_11530_1;705
bs_muellerstrasse;agg_9722_0_9722_1;349
bs_muellerstrasse;agg_10980_0_10980_1;875
bs_muellerstrasse;agg_11090_0_10036_0_12472_0;862
bs_cicerostrasse;bs_muellerstrasse;659
bs_cicerostrasse;bs_cicerostrasse;15
bs_cicerostrasse;9735_25;386
bs_cicerostrasse;10994_37;466
bs_cicerostrasse;11407_0;916
bs_cicerostrasse;11407_61;336
bs_cicerostrasse;11658_39;809
bs_cicerostrasse;11800_21;782
bs_cicerostrasse;12751_0;491
bs_cicerostrasse;10661_32;1227
bs_cicerostrasse;10948_29;685
bs_cicerostrasse;11804_0;830
bs_cicerostrasse;10789_0;569
bs_cicerostrasse;9873_50;464
bs_cicerostrasse;12422_0;547
bs_cicerostrasse;10663_0;1228
bs_cicerostrasse;9724_18;535
bs_cicerostrasse;10785_23;564
bs_cicerostrasse;10498_0;356
bs_cicerostrasse;9646_49;370
bs_cicerostrasse;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;239
bs_cicerostrasse;agg_9633_0_9633_1;445
bs_cicerostrasse;agg_9633_48_11946_43_11949_0_9646_0;730
bs_cicerostrasse;agg_9828_0_12475_0;968
bs_cicerostrasse;agg_11516_32_11970_0_12041_8_11921_0;975
bs_cicerostrasse;agg_9828_4_11970_4_10691_33_9844_29;875
bs_cicerostrasse;agg_9828_20_11060_9_11065_0_11957_27;737
bs_cicerostrasse;agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0;600
bs_cicerostrasse;agg_9863_0_9863_1;513
bs_cicerostrasse;agg_9863_50_11969_8;574
bs_cicerostrasse;agg_9897_0_9973_34_9889_51_9963_0;1172
bs_cicerostrasse;agg_11514_0_12043_0;899
bs_cicerostrasse;agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20;910
bs_cicerostrasse;agg_10142_44_10136_0_9897_50_9889_0;1320
bs_cicerostrasse;agg_10045_25_11089_9_12475_23;645
bs_cicerostrasse;agg_10740_22_10099_15;533
bs_cicerostrasse;agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0;653
bs_cicerostrasse;agg_10115_37_10115_38_10189_36_10189_37;1576
bs_cicerostrasse;agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1;917
bs_cicerostrasse;agg_10385_45_10395_0_11755_32_11759_0;984
bs_cicerostrasse;agg_10437_0_11755_0_12113_0_10437_1_11755_1_12113_1_11941_24;286
bs_cicerostrasse;agg_10437_17_10498_41;620
bs_cicerostrasse;agg_11665_0_10437_34_11665_1;747
bs_cicerostrasse;agg_10444_40_11759_32_12115_49;304
bs_cicerostrasse;agg_10804_21_10804_22_11538_46_11538_47_10481_5;184
bs_cicerostrasse;agg_10994_0_10980_36;331
bs_cicerostrasse;agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0;344
bs_cicerostrasse;agg_11518_32_11523_0;363
bs_cicerostrasse;agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1;398
bs_cicerostrasse;agg_11516_10_9908_16_10691_9_11882_34_12464_4_9929_0_9844_1_9931_11;590
bs_cicerostrasse;agg_11538_0_11530_46;632
bs_cicerostrasse;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;240
bs_cicerostrasse;agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;647
bs_cicerostrasse;agg_10965_0_10970_27;343
bs_cicerostrasse;agg_11800_0_11164_0_11804_22_11166_22;349
bs_cicerostrasse;agg_9737_0_11857_8_9737_1;418
bs_cicerostrasse;agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1;1041
bs_cicerostrasse;agg_11967_43_11963_0_10695_0_10705_33;1209
bs_cicerostrasse;agg_11973_30_9852_17_10683_0_9836_28;973
bs_cicerostrasse;agg_12113_47_12561_34_12556_9;995
bs_cicerostrasse;agg_12115_0_12558_0_12570_0;1031
bs_cicerostrasse;agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1;132
bs_cicerostrasse;agg_12570_35_12561_0;407
bs_cicerostrasse;agg_12751_33_12751_34_11845_43;319
bs_cicerostrasse;agg_12788_0_12763_0_12771_36;164
bs_cicerostrasse;agg_10661_0_10064_29_10663_31_10066_0;202
bs_cicerostrasse;agg_9908_53_9922_0;1147
bs_cicerostrasse;agg_12434_34_12434_35;640
bs_cicerostrasse;agg_11804_21_10538_19_11166_21_10970_26_10537_0_10538_20;342
bs_cicerostrasse;agg_10537_16_10538_0;585
bs_cicerostrasse;agg_10948_0_10802_38;204
bs_cicerostrasse;agg_11880_0_10675_0_11986_0;763
bs_cicerostrasse;agg_11968_0_9873_0;578
bs_cicerostrasse;agg_10675_37_10671_0_11957_0_11962_49_10671_1_11957_1;1164
bs_cicerostrasse;agg_11679_0_11683_37_11679_1;591
bs_cicerostrasse;agg_11679_36_11683_0;447
bs_cicerostrasse;agg_10671_36_11882_47_11989_25;760
bs_cicerostrasse;agg_11518_0_11838_49_11845_0_11523_30;877
bs_cicerostrasse;agg_9777_0_9773_29;99
bs_cicerostrasse;agg_9777_31_9773_0;743
bs_cicerostrasse;agg_11060_0_11067_23;742
bs_cicerostrasse;agg_10965_25_10970_0;700
bs_cicerostrasse;agg_12123_27_12124_0_10487_0_10481_42;703
bs_cicerostrasse;agg_11065_20_11067_0_9852_0_9844_45;909
bs_cicerostrasse;agg_11039_0_11037_12;333
bs_cicerostrasse;agg_12763_36_12771_0;946
bs_cicerostrasse;agg_11475_0_11467_26_11475_1;512
bs_cicerostrasse;agg_11475_27_10487_39_10481_0_11467_0;293
bs_cicerostrasse;agg_11079_0_11077_9_11079_1_10705_29;1081
bs_cicerostrasse;agg_11079_10_11077_0;1187
bs_cicerostrasse;agg_11082_16_10120_31_11085_0_12038_6;813
bs_cicerostrasse;agg_9852_46_9844_0;625
