station_id,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
cd_Muellerstrasse_01,0.0,0.0,0.0,0.0,0.0,0.0,5.0529866,152.95155,312.8595,450.4781,534.82697,64.2077,80.21002,406.05585,706.8911,454.81738,489.8481,376.07397,209.75784,98.19533,6.388321,0.0,0.0,0.0
cd_Cicerostrasse_01,0.0,0.0,0.0,0.0,0.0,0.0,5.1590176,154.69571,289.2858,400.90784,495.05615,66.20136,81.696686,447.88416,660.0565,542.8546,452.6905,429.66855,164.05453,91.10288,11.645016,0.0,0.0,0.0
cs_9735_25,0.0,0.0,0.0,0.0,0.0,0.0,4.467135,159.79378,290.7493,396.28226,455.8999,66.20175,89.167915,455.0618,646.4062,494.5635,442.60434,419.13654,175.29286,90.27168,5.106247,0.0,0.0,0.0
cs_10994_37,0.0,0.0,0.0,0.0,0.0,0.0,4.467135,159.79153,290.74652,396.28046,455.89902,66.20175,89.167915,455.06174,646.4059,494.56342,442.60443,419.13782,175.29324,90.27204,5.106247,0.0,0.0,0.0
cs_11407_0,0.0,0.0,0.0,0.0,0.0,0.0,19.4997,156.93996,290.3864,403.62152,509.52103,76.793655,73.15866,466.70508,660.22516,614.99,527.7422,403.1678,90.41118,28.614344,10.879562,0.0,0.0,0.0
cs_11407_61,0.0,0.0,0.0,0.0,0.0,0.0,4.467135,159.81133,290.7627,396.2881,455.90167,66.20175,89.167915,455.06168,646.4049,494.56238,442.60187,419.12848,175.29134,90.270676,5.106247,0.0,0.0,0.0
cs_11658_39,0.0,0.0,0.0,0.0,0.0,0.0,8.022941,161.23537,289.3781,405.49167,500.45886,78.44823,78.23652,484.28348,672.9111,628.9578,330.51093,431.5513,167.85881,23.057236,32.5277,0.0,0.0,0.0
cs_11800_21,0.0,0.0,0.0,0.0,0.0,0.0,7.2949324,159.18837,287.0421,406.98016,500.4449,75.16425,83.20307,490.64627,675.95325,619.1271,367.9449,421.06442,150.97035,30.995228,31.722332,0.0,0.0,0.0
cs_12751_0,0.0,0.0,0.0,0.0,0.0,0.0,5.1590176,154.71527,289.31363,400.92712,495.06827,66.20136,81.696686,447.8851,660.0597,542.85547,452.68887,429.655,164.05173,91.09918,11.645016,0.0,0.0,0.0
cs_10661_32,0.0,0.0,0.0,0.0,0.0,0.0,22.63681,165.98805,283.00964,394.41632,55.813915,72.10387,246.57062,484.76358,565.82635,529.9533,511.1991,376.19785,211.65877,89.781815,5.1161594,0.0,0.0,0.0
cs_10948_29,0.0,0.0,0.0,0.0,0.0,0.0,8.022941,161.20766,289.35452,405.47803,500.45187,78.44823,78.23652,484.28326,672.91156,628.9603,330.51193,431.56573,167.86143,23.057236,32.528465,0.0,0.0,0.0
cs_11804_0,0.0,0.0,0.0,0.0,0.0,0.0,7.2949324,159.18779,287.04187,406.98016,500.445,75.16425,83.20307,490.64627,675.95337,619.12726,367.94492,421.0646,150.97035,30.995228,31.722326,0.0,0.0,0.0
cs_10789_0,0.0,0.0,0.0,0.0,0.0,0.0,5.866476,155.52103,290.1599,401.79132,496.06192,66.1359,81.60661,448.18063,660.1644,543.03424,452.3503,430.06482,163.97261,91.016884,11.638774,0.0,0.0,0.0
cs_9873_50,0.0,0.0,0.0,0.0,0.0,0.0,5.866476,155.50455,290.1458,401.78488,496.05933,66.1359,81.60661,448.1808,660.166,543.0361,452.35318,430.07407,163.97379,91.01796,11.638774,0.0,0.0,0.0
cs_12422_0,0.0,0.0,0.0,0.0,0.0,0.0,9.486014,166.20575,285.43604,399.9461,342.9679,67.10137,126.81218,520.7746,570.1951,593.6257,340.75192,396.77396,174.01335,47.34241,5.108898,0.0,0.0,0.0
cs_10663_0,0.0,0.0,0.0,0.0,0.0,0.0,22.63681,165.98796,283.00958,394.41632,55.813915,72.10387,246.57062,484.76358,565.82635,529.9533,511.1991,376.19788,211.65878,89.78182,5.1161594,0.0,0.0,0.0
cs_9724_18,0.0,0.0,0.0,0.0,0.0,0.0,4.469894,161.06659,289.55487,402.07767,305.82162,62.981636,85.87849,409.2423,644.21313,463.17957,453.15958,382.76498,244.01779,103.80131,5.118306,0.0,0.0,0.0
cs_10785_23,0.0,0.0,0.0,0.0,0.0,0.0,5.866476,155.52063,290.1594,401.791,496.0617,66.1359,81.60661,448.18057,660.1644,543.03424,452.3503,430.0651,163.97266,91.016945,11.638774,0.0,0.0,0.0
cs_10498_0,0.0,0.0,0.0,0.0,0.0,0.0,5.1594667,159.76671,291.58432,397.0817,455.90457,66.203575,89.170006,455.06195,646.3956,493.78256,441.81787,419.10342,175.29031,90.27141,5.1066194,0.0,0.0,0.0
cs_9646_49,0.0,0.0,0.0,0.0,0.0,0.0,5.1594667,159.77007,291.58716,397.08307,455.9051,66.203575,89.170006,455.06195,646.3955,493.78235,441.81744,419.10175,175.28998,90.27115,5.1066194,0.0,0.0,0.0
cs_agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0,0.0,0.0,0.0,0.0,0.0,0.0,5.1594667,159.754,291.5775,397.08032,455.905,66.203575,89.170006,455.06232,646.3977,493.784,441.82007,419.10855,175.29092,90.27152,5.1066194,0.0,0.0,0.0
cs_agg_9633_0_9633_1,0.0,0.0,0.0,0.0,0.0,0.0,5.1594667,159.77147,291.58832,397.08368,455.9053,66.203575,89.170006,455.06195,646.39545,493.78232,441.8173,419.10114,175.28984,90.27106,5.1066194,0.0,0.0,0.0
cs_agg_9633_48_11946_43_11949_0_9646_0,0.0,0.0,0.0,0.0,0.0,0.0,5.1571207,166.55498,287.66183,401.47375,489.52484,70.28947,103.31255,510.9282,613.0456,606.87775,338.41708,405.86224,151.123,51.34725,10.1402445,0.0,0.0,0.0
cs_agg_9828_0_12475_0,0.0,0.0,0.0,0.0,0.0,0.0,6.580461,154.39932,290.44556,396.13092,500.50488,63.749928,78.35805,385.40576,658.64557,518.28687,463.85275,413.606,254.60956,105.18252,13.178881,0.0,0.0,0.0
cs_agg_11516_32_11970_0_12041_8_11921_0,0.0,0.0,0.0,0.0,0.0,0.0,6.580461,154.39932,290.44556,396.13092,500.50488,63.749928,78.35805,385.40576,658.64557,518.28687,463.85275,413.606,254.60956,105.18252,13.178881,0.0,0.0,0.0
cs_agg_9828_4_11970_4_10691_33_9844_29,0.0,0.0,0.0,0.0,0.0,0.0,6.580461,154.39024,290.43665,396.12668,500.5027,63.749928,78.35805,385.40576,658.64594,518.28754,463.85443,413.611,254.61484,105.18418,13.178881,0.0,0.0,0.0
cs_agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0,0.0,0.0,0.0,0.0,0.0,0.0,5.866476,155.50516,290.14172,401.78027,496.0556,66.1359,81.60661,448.18027,660.1639,543.0346,452.3523,430.07492,163.97435,91.01894,11.638774,0.0,0.0,0.0
cs_agg_9863_0_9863_1,0.0,0.0,0.0,0.0,0.0,0.0,5.866476,155.5055,290.14664,401.78525,496.05948,66.1359,81.60661,448.1808,660.1659,543.0359,452.35303,430.0736,163.97374,91.01789,11.638774,0.0,0.0,0.0
cs_agg_9863_50_11969_8,0.0,0.0,0.0,0.0,0.0,0.0,4.467011,165.96469,289.26678,401.65265,202.45773,67.01938,95.816246,471.7815,639.5349,503.17044,370.3899,394.22412,204.53786,72.63614,5.1061096,0.0,0.0,0.0
cs_agg_9897_0_9973_34_9889_51_9963_0,0.0,0.0,0.0,0.0,0.0,0.0,5.159926,166.01454,289.4673,401.92987,275.9378,63.86177,82.63352,367.05667,657.6395,560.26605,412.87973,364.0016,197.72961,149.19441,17.033104,0.0,0.0,0.0
cs_agg_11514_0_12043_0,0.0,0.0,0.0,0.0,0.0,0.0,6.580461,154.39618,290.44247,396.12946,500.50415,63.749928,78.35805,385.40576,658.6458,518.28705,463.85333,413.60776,254.61136,105.18308,13.178881,0.0,0.0,0.0
cs_agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20,0.0,0.0,0.0,0.0,0.0,0.0,6.580461,154.39618,290.44247,396.12946,500.50415,63.749928,78.35805,385.40576,658.6458,518.28705,463.85333,413.60776,254.61136,105.18308,13.178881,0.0,0.0,0.0
cs_agg_10142_44_10136_0_9897_50_9889_0,0.0,0.0,0.0,0.0,0.0,0.0,5.164932,158.46835,290.61932,397.71744,508.1422,63.751137,74.22151,285.17703,660.1184,526.04236,470.0416,416.63605,118.53673,102.89617,8.692094,0.0,0.0,0.0
cs_agg_10045_25_11089_9_12475_23,0.0,0.0,0.0,0.0,0.0,0.0,10.234409,170.26477,285.52402,397.76837,60.71539,69.567894,146.77324,469.05206,569.3959,558.1069,489.33456,372.73703,208.75203,85.70987,5.1113234,0.0,0.0,0.0
cs_agg_10740_22_10099_15,0.0,0.0,0.0,0.0,0.0,0.0,5.866476,155.51419,290.15442,401.78903,496.06113,66.1359,81.60661,448.18073,660.16534,543.03503,452.3515,430.06866,163.97304,91.01725,11.638774,0.0,0.0,0.0
cs_agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0,0.0,0.0,0.0,0.0,0.0,0.0,6.580461,154.38795,290.4434,396.13458,500.50977,63.749928,78.35805,385.40625,658.6502,518.2898,463.8564,413.61032,254.60846,105.18041,13.178881,0.0,0.0,0.0
cs_agg_10115_37_10115_38_10189_36_10189_37,0.0,0.0,0.0,0.0,0.0,0.0,6.58296,161.88264,293.01013,402.58057,510.90186,62.111485,74.08822,270.4279,659.53906,491.77472,440.7973,410.19913,112.78598,95.860825,7.2338285,0.0,0.0,0.0
cs_agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1,0.0,0.0,0.0,0.0,0.0,0.0,19.4997,156.93971,290.38623,403.62146,509.52103,76.793655,73.15866,466.70508,660.2252,614.99005,527.7423,403.16788,90.41118,28.614344,10.879562,0.0,0.0,0.0
cs_agg_10385_45_10395_0_11755_32_11759_0,0.0,0.0,0.0,0.0,0.0,0.0,11.748268,160.05992,291.64792,406.26688,501.97787,68.61008,91.496574,512.8267,650.0966,617.59033,397.9502,419.56003,138.81616,18.373583,21.644619,0.0,0.0,0.0
cs_agg_10437_0_11755_0_12113_0_10437_1_11755_1_12113_1_11941_24,0.0,0.0,0.0,0.0,0.0,0.0,5.1590176,154.70541,289.30096,400.91885,495.06323,66.20136,81.696686,447.88474,660.0587,542.8554,452.6899,429.66153,164.05296,91.10075,11.645016,0.0,0.0,0.0
cs_agg_10437_17_10498_41,0.0,0.0,0.0,0.0,0.0,0.0,7.2949324,159.20633,287.05103,406.98172,500.4437,75.16425,83.20307,490.6454,675.94965,619.12256,367.94333,421.0569,150.96996,30.995228,31.72249,0.0,0.0,0.0
cs_agg_11665_0_10437_34_11665_1,0.0,0.0,0.0,0.0,0.0,0.0,8.022941,161.23132,289.37482,405.48984,500.45798,78.44823,78.23652,484.28348,672.9112,628.9583,330.51108,431.55328,167.85916,23.057236,32.527794,0.0,0.0,0.0
cs_agg_10444_40_11759_32_12115_49,0.0,0.0,0.0,0.0,0.0,0.0,5.1590176,154.70532,289.3011,400.919,495.06332,66.20136,81.696686,447.8848,660.05884,542.8554,452.68997,429.66153,164.05295,91.100716,11.645016,0.0,0.0,0.0
cs_agg_10804_21_10804_22_11538_46_11538_47_10481_5,0.0,0.0,0.0,0.0,0.0,0.0,4.467135,159.81137,290.75827,396.2837,455.89902,66.20175,89.167915,455.06116,646.4031,494.56152,442.6013,419.12952,175.29208,90.27162,5.106247,0.0,0.0,0.0
cs_agg_10994_0_10980_36,0.0,0.0,0.0,0.0,0.0,0.0,5.1590176,154.69853,289.2966,400.91782,495.06345,66.20136,81.696686,447.885,660.06006,542.85657,452.6913,429.66498,164.05328,91.10085,11.645016,0.0,0.0,0.0
cs_agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0,0.0,0.0,0.0,0.0,0.0,0.0,5.1590176,154.69728,289.29556,400.91733,495.06323,66.20136,81.696686,447.885,660.0602,542.8566,452.6916,429.66574,164.05334,91.10094,11.645016,0.0,0.0,0.0
cs_agg_11518_32_11523_0,0.0,0.0,0.0,0.0,0.0,0.0,4.467011,165.98273,289.28357,401.66364,202.45781,67.01938,95.816246,471.78207,639.5361,503.17044,370.38922,394.21744,204.53323,72.635635,5.1061096,0.0,0.0,0.0
cs_agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1,0.0,0.0,0.0,0.0,0.0,0.0,5.1594667,159.74171,291.56174,397.06995,455.89984,66.203575,89.170006,455.06174,646.39594,493.78357,441.8208,419.11563,175.29308,90.273605,5.1066194,0.0,0.0,0.0
cs_agg_11516_10_9908_16_10691_9_11882_34_12464_4_9929_0_9844_1_9931_11,0.0,0.0,0.0,0.0,0.0,0.0,5.0525236,153.1321,313.1779,450.80786,535.095,64.20249,80.20359,406.0461,706.84186,454.74066,489.60944,375.73074,209.54527,98.133575,6.387742,0.0,0.0,0.0
cs_agg_11538_0_11530_46,0.0,0.0,0.0,0.0,0.0,0.0,8.027287,161.29686,288.68738,405.6511,499.8924,78.4224,78.2933,483.2347,670.7097,627.3537,330.05618,431.5532,167.9403,23.088923,32.57313,0.0,0.0,0.0
