TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP
32;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;42180.0;44000.0
33;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;42900.0;44720.0
34;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;43620.0;45440.0
35;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;44340.0;46160.0
36;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;45060.0;46880.0
37;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;45780.0;47600.0
38;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;46500.0;48320.0
39;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;47220.0;49040.0
40;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;47940.0;49760.0
41;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;48660.0;50480.0
42;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;49380.0;51200.0
43;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;50100.0;51920.0
44;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;50820.0;52640.0
45;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;51540.0;53360.0
46;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;52260.0;54080.0
47;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;52980.0;54800.0
48;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;53700.0;55520.0
49;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;54420.0;56240.0
50;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;55140.0;56960.0
51;109_9722;agg_9722_0_9722_1;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;Müllerstraße;55860.0;57680.0
