TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP
45;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;41520.0;45380.0
46;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;42120.0;45980.0
47;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;42720.0;46580.0
48;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;43320.0;47180.0
49;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;43920.0;47780.0
50;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;44520.0;48380.0
51;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;45120.0;48980.0
52;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;45720.0;49580.0
53;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;46320.0;50180.0
54;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;46920.0;50780.0
55;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;47520.0;51380.0
56;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;48120.0;51980.0
57;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;48720.0;52580.0
58;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;49320.0;53180.0
59;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;49920.0;53780.0
60;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;50520.0;54380.0
61;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;51120.0;54980.0
