station_id,peak_power,raw_solar_data,scaled_solar_data
cs_agg_10437_0_11755_0_12113_0_10437_1_11755_1_12113_1_11941_24,68,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.346357, 56.05013, 119.82631, 223.3582, 292.30084, 390.87766, 351.5769, 443.93668, 742.2335, 688.0056, 549.204, 201.12793, 20.159674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 975.552276, 3811.40884, 8148.18908, 15188.357600000001, 19876.45712, 26579.68088, 23907.2292, 30187.69424, 50471.878000000004, 46784.3808, 37345.871999999996, 13676.69924, 1370.857832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10661_0_10064_29_10663_31_10066_0,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.234758, 57.130196, 105.8865, 197.5752, 340.18448, 274.1233, 388.564, 519.5105, 742.88306, 700.0308, 566.5601, 223.41154, 67.98201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 480.86895, 1428.2549, 2647.1625, 4939.38, 8504.612000000001, 6853.0824999999995, 9714.1, 12987.762499999999, 18572.0765, 17500.77, 14164.0025, 5585.2885, 1699.55025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10671_36_11882_47_11989_25,375,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.873823, 58.966892, 91.10632, 182.48769, 352.92273, 308.0513, 420.91745, 390.25867, 749.2434, 679.04395, 567.1342, 211.65953, 30.264465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4827.683625, 22112.5845, 34164.869999999995, 68432.88375, 132346.02375, 115519.2375, 157844.04374999998, 146347.00125, 280966.27499999997, 254641.48125, 212675.32499999998, 79372.32375, 11349.174375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10804_21_10804_22_11538_46_11538_47_10481_5,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.36478, 57.146656, 110.46637, 205.87416, 315.18204, 358.77655, 389.67715, 536.72815, 737.82184, 693.62836, 566.9619, 206.11647, 90.52818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 409.1195, 1428.6664, 2761.65925, 5146.853999999999, 7879.5509999999995, 8969.41375, 9741.92875, 13418.20375, 18445.546, 17340.709000000003, 14174.0475, 5152.91175, 2263.2045000000003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21,62,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.475887, 58.766514, 116.74563, 244.85039, 294.18198, 337.13947, 350.18185, 532.30914, 737.5631, 673.695, 569.10205, 309.86105, 15.819848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 711.504994, 3643.523868, 7238.229060000001, 15180.724180000001, 18239.282760000002, 20902.64714, 21711.274699999998, 33003.166679999995, 45728.9122, 41769.090000000004, 35284.327099999995, 19211.3851, 980.8305760000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10965_0_10970_27,37,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.349595, 56.062073, 119.85113, 223.39285, 292.33017, 390.877, 351.60138, 443.90283, 742.0187, 687.7944, 549.0317, 201.09756, 20.164173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 530.935015, 2074.2967009999998, 4434.4918099999995, 8265.535450000001, 10816.21629, 14462.449, 13009.25106, 16424.40471, 27454.691899999998, 25448.3928, 20314.1729, 7440.6097199999995, 746.0744010000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10994_0_10980_36,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.34695, 56.0523, 119.82997, 223.35115, 292.2901, 390.84772, 351.5684, 443.89807, 742.10944, 687.89716, 549.1257, 201.1138, 20.160492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 358.67375, 1401.3075000000001, 2995.74925, 5583.7787499999995, 7307.2525, 9771.193, 8789.21, 11097.45175, 18552.735999999997, 17197.429, 13728.142500000002, 5027.845, 504.01230000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1,50,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.076714, 57.133476, 110.441124, 205.84215, 315.18903, 358.7945, 388.91214, 536.10364, 738.0065, 692.68, 565.6529, 206.2074, 89.66516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 853.8357, 2856.6738, 5522.0562, 10292.1075, 15759.4515, 17939.725000000002, 19445.607, 26805.182, 36900.325, 34634.0, 28282.645000000004, 10310.37, 4483.258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11065_20_11067_0_9852_0_9844_45,50,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.155427, 52.3955, 84.206894, 207.5219, 374.7496, 363.65015, 470.36395, 428.40433, 764.5586, 699.965, 611.248, 365.92773, 22.764776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 707.77135, 2619.775, 4210.344700000001, 10376.095, 18737.48, 18182.5075, 23518.1975, 21420.216500000002, 38227.93, 34998.25, 30562.4, 18296.3865, 1138.2388, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11475_0_11467_26_11475_1,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.459169, 58.764637, 116.78375, 244.28549, 294.38535, 337.37314, 349.65128, 532.2022, 738.71765, 674.7835, 568.4101, 310.24786, 15.818946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 286.479225, 1469.115925, 2919.59375, 6107.137250000001, 7359.633750000001, 8434.3285, 8741.282, 13305.054999999998, 18467.94125, 16869.5875, 14210.252500000002, 7756.1965, 395.47365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11475_27_10487_39_10481_0_11467_0,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.362438, 57.138897, 110.45099, 205.84041, 315.15247, 358.75888, 389.6902, 536.751, 737.87103, 693.6396, 566.912, 206.06155, 90.45995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 409.06095000000005, 1428.472425, 2761.27475, 5146.010249999999, 7878.81175, 8968.972, 9742.255000000001, 13418.775, 18446.77575, 17340.989999999998, 14172.800000000001, 5151.538750000001, 2261.49875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11518_0_11838_49_11845_0_11523_30,283,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.697031, 48.95568, 114.73952, 219.23285, 344.4251, 375.4103, 315.47693, 459.35004, 751.38776, 686.433, 584.3176, 266.29904, 8.37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2461.259773, 13854.45744, 32471.28416, 62042.896550000005, 97472.3033, 106241.1149, 89279.97119, 129996.06132, 212642.73608, 194260.539, 165361.88079999998, 75362.62832, 2368.7099999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11518_32_11523_0,12,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.234024, 57.128117, 105.88308, 197.58214, 340.2618, 274.13354, 388.60858, 519.6509, 743.15607, 700.2786, 566.74695, 223.45712, 67.986115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 230.808288, 685.537404, 1270.59696, 2370.9856800000002, 4083.1416, 3289.6024799999996, 4663.30296, 6235.810799999999, 8917.87284, 8403.3432, 6800.9634, 2681.48544, 815.83338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11538_0_11530_46,31,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.177101, 58.400696, 133.4814, 222.02458, 253.5101, 374.54364, 392.30786, 585.0498, 733.7872, 663.34375, 550.15436, 335.92996, 12.29021, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 439.490131, 1810.4215760000002, 4137.923400000001, 6882.761979999999, 7858.813099999999, 11610.85284, 12161.54366, 18136.5438, 22747.4032, 20563.65625, 17054.78516, 10413.82876, 380.99651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39,593,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.077795, 57.136906, 110.44769, 205.84648, 315.17325, 358.78754, 388.87784, 536.1387, 738.1467, 692.92163, 565.98004, 206.35315, 89.79455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10127.132435, 33882.185258000005, 65495.480169999995, 122066.96264000001, 186897.73725, 212761.01122, 230604.55912, 317930.24909999996, 437720.9931, 410902.52659, 335626.16372, 122367.41795, 53248.16815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11679_0_11683_37_11679_1,21,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.146033, 47.82648, 112.997894, 222.50871, 349.25565, 280.34744, 487.49078, 581.62994, 734.79376, 688.97076, 582.2237, 308.64166, 78.71648, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 297.066693, 1004.3560799999999, 2372.955774, 4672.68291, 7334.36865, 5887.29624, 10237.30638, 12214.22874, 15430.66896, 14468.385960000001, 12226.6977, 6481.47486, 1653.04608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11679_36_11683_0,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.357375, 56.799957, 119.808334, 223.38611, 292.3085, 390.9577, 351.567, 444.07297, 741.4759, 687.1679, 548.68976, 198.94707, 20.1509, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 358.934375, 1419.9989249999999, 2995.20835, 5584.65275, 7307.7125, 9773.9425, 8789.175, 11101.82425, 18536.8975, 17179.197500000002, 13717.243999999999, 4973.67675, 503.7725, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
