station_id,peak_power,raw_solar_data,scaled_solar_data
cd_muellerstrasse_01,6289,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.24784215, 6.713836, 15.865892, 42.028778, 55.70576, 91.58631, 258.93997, 617.24054, 526.3894, 594.5027, 624.0318, 435.01007, 406.68997, 161.69011, 159.66173, 60.778023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 1558.67928135, 42223.314604, 99780.594788, 264318.984842, 350333.52463999996, 575986.30359, 1628473.47133, 3881825.75606, 3310462.9366, 3738827.4803, 3924535.9902, 2735778.33023, 2557673.22133, 1016869.10179, 1004112.61997, 382232.986647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cd_cicerostrasse_01,5500,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 2.5400634, 13.510941, 15.860774, 43.689686, 47.235645, 83.85558, 319.89737, 530.1801, 558.75305, 622.4877, 634.17206, 380.71106, 396.91498, 101.908844, 167.57196, 56.527924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 13970.3487, 74310.1755, 87234.257, 240293.27300000002, 259796.0475, 461205.69, 1759435.5350000001, 2915990.5500000003, 3073141.7750000004, 3423682.35, 3487946.33, 2093910.8299999998, 2183032.39, 560498.642, 921645.7799999999, 310903.582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_11658_39,25,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 8.021953, 10.437133, 15.854564, 29.57586, 43.853416, 154.37517, 357.8099, 419.19772, 603.5087, 700.98956, 620.66406, 440.51007, 151.9399, 178.11589, 168.1271, 49.80134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 200.548825, 260.928325, 396.3641, 739.3965, 1096.3354000000002, 3859.37925, 8945.247500000001, 10479.943, 15087.717499999999, 17524.739, 15516.601499999999, 11012.75175, 3798.4975, 4452.89725, 4203.177500000001, 1245.0335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_12422_0,37,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 7.4584007, 16.653128, 15.871274, 28.79128, 71.87558, 93.3474, 298.8123, 541.37634, 646.24207, 626.6183, 550.8256, 500.55392, 273.77777, 65.609695, 194.29767, 68.84405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 275.96082590000003, 616.1657359999999, 587.237138, 1065.27736, 2659.39646, 3453.8538, 11056.0551, 20030.924580000003, 23910.95659, 23184.877099999998, 20380.5472, 18520.49504, 10129.777489999999, 2427.558715, 7189.01379, 2547.2298499999997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_9646_49,31,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.24765411, 17.433176, 15.861553, 42.01925, 56.534378, 83.857605, 265.67548, 544.9405, 547.3391, 594.3196, 626.9922, 468.97232, 443.8123, 76.55314, 176.65623, 58.20065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 7.67727741, 540.428456, 491.708143, 1302.59675, 1752.5657179999998, 2599.585755, 8235.93988, 16893.1555, 16967.5121, 18423.907600000002, 19436.7582, 14538.14192, 13758.1813, 2373.14734, 5476.34313, 1804.22015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_9873_50,312,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 2.5405114, 13.509048, 15.856245, 43.672043, 47.226, 83.83594, 319.9181, 530.5205, 559.01605, 622.68506, 633.44867, 379.88293, 396.97403, 101.91715, 167.55899, 56.248135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 792.6395568, 4214.822976, 4947.14844, 13625.677416, 14734.511999999999, 26156.81328, 99814.4472, 165522.39599999998, 174413.00759999998, 194277.73872, 197635.98504, 118523.47416, 123855.89736, 31798.150800000003, 52278.40488, 17549.41812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10045_25_11089_9_12475_23,18,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.24756512, 7.447535, 15.8676815, 27.149942, 38.025097, 88.168655, 269.0685, 526.6169, 737.76697, 587.7465, 594.15674, 478.71558, 267.09232, 95.14322, 98.47973, 73.48698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 4.45617216, 134.05563, 285.618267, 488.698956, 684.4517460000001, 1587.03579, 4843.232999999999, 9479.1042, 13279.80546, 10579.437, 10694.821320000001, 8616.880439999999, 4807.661759999999, 1712.57796, 1772.63514, 1322.76564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0,100,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.2478898, 6.712752, 18.233128, 41.178295, 50.619022, 80.42569, 340.2145, 610.0845, 515.255, 640.68854, 624.29175, 420.41476, 417.25015, 195.59761, 178.97322, 54.6375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 24.78898, 671.2752, 1823.3128000000002, 4117.8295, 5061.9022, 8042.569, 34021.45, 61008.450000000004, 51525.5, 64068.854, 62429.174999999996, 42041.476, 41725.015, 19559.761, 17897.322, 5463.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10142_44_10136_0_9897_50_9889_0,149,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.24795765, 8.183965, 27.097672, 44.522938, 43.0428, 83.854164, 365.40234, 529.1595, 502.08612, 606.9065, 646.57465, 473.4016, 418.86786, 211.11324, 155.55019, 58.8308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 36.94568985, 1219.410785, 4037.553128, 6633.917762000001, 6413.3772, 12494.270435999999, 54444.948659999995, 78844.7655, 74810.83188, 90429.06850000001, 96339.62285, 70536.8384, 62411.31114, 31455.87276, 23176.97831, 8765.789200000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1,31,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 8.227753, 7.4402037, 24.639345, 27.105888, 50.58106, 104.39777, 446.11252, 426.2531, 551.7105, 721.6022, 591.8512, 414.3568, 154.46985, 256.31732, 169.24008, 31.418121, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 255.060343, 230.64631469999998, 763.8196949999999, 840.282528, 1568.01286, 3236.33087, 13829.48812, 13213.8461, 17103.0255, 22369.6682, 18347.387199999997, 12845.060800000001, 4788.56535, 7945.83692, 5246.442480000001, 973.9617509999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
