station_id,peak_power,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400,90000,93600,97200,100800,104400
cd_muellerstrasse_01,6289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.651426,21.166187,77.51844,148.497,170.66248,89.04796,75.69915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd_cicerostrasse_01,5500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.696392,20.597294,52.397003,110.27935,246.06783,63.691284,84.62607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_11658_39,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.830136,18.728975,45.370174,119.83879,267.0622,130.32529,57.24409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_12422_0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.248426,17.90182,53.645157,81.62426,225.92543,57.245556,98.10931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_9646_49,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.858065,20.233091,60.21234,114.11876,195.6675,93.867775,83.56585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_9873_50,312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685479,20.581886,52.364468,109.50812,245.7354,62.926113,85.019295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_agg_10045_25_11089_9_12475_23,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.581158,22.848043,78.71878,140.33821,128.38307,45.18204,30.569046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.915072,20.33954,68.803154,120.2451,199.28358,81.90403,76.46856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_agg_10142_44_10136_0_9897_50_9889_0,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.717799,18.393764,98.94352,153.21523,207.64671,123.19237,56.93569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
