station_id,peak_power,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400,90000,93600,97200,100800,104400
cd_muellerstrasse_01,6289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81873.421968,594951.72644,388634.10065000004,685378.30161,1489564.1147,296720.321627,1239651.2666900002,559478.37038,843354.7742199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd_cicerostrasse_01,5500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59747.193,266866.05,312834.3625,720815.81,718065.3700000001,274282.635,2541003.685,438201.225,578936.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_11658_39,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.1995,1654.138,1401.263,2477.3225,5325.4925,1226.377,11127.355,3097.1625,2610.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_12422_0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.2319600000001,1015.717266,1723.9252749999998,4161.981445,6284.9643,1923.44352,16806.66059,3625.11755,19780.44975,56.7036692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_9646_49,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.546964,1573.5595970000002,1640.5785899999998,3842.01011,5592.80703,1320.417596,14460.829160000001,3961.2010800000003,7355.98876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_9873_50,312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3387.6978719999997,15133.677,17739.89256,40884.701519999995,40734.58272,15554.29512,143966.8152,24616.92792,32942.51688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_agg_10045_25_11089_9_12475_23,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.31978199999999,460.397772,822.067308,1549.5517799999998,3597.21378,758.883024,8196.97194,4181.74668,10029.5784,35.9763498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.3344,6428.660600000001,6701.595,11874.523000000001,15105.119999999999,6248.398999999999,11658.804,6671.361,7502.3796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs_agg_10142_44_10136_0_9897_50_9889_0,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2073.671144,9513.434993,9168.65242,13009.298770000001,22438.90979,10164.40154,8628.683125,9890.80625,12267.66021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
